date,close,high,low,open,volume 
2016-03-16T00:00:00.000Z,191.57,192.43,190.0,190.54,878232
2016-03-17T00:00:00.000Z,190.91,192.28,190.16,191.6,1253429
2016-03-18T00:00:00.000Z,193.99,194.42,191.045,191.68,1350074
2016-03-21T00:00:00.000Z,194.18,195.47,193.21,193.35,839704
2016-03-22T00:00:00.000Z,194.34,195.1725,193.58,194.16,720633
2016-03-23T00:00:00.000Z,194.96,195.64,193.87,193.96,986364
2016-03-24T00:00:00.000Z,194.2,194.68,193.25,193.67,738652
2016-03-28T00:00:00.000Z,194.88,195.44,194.21,194.21,623322
2016-03-29T00:00:00.000Z,196.68,196.75,194.25,194.25,551446
2016-03-30T00:00:00.000Z,198.73,198.88,197.1,197.23,1231055
2016-03-31T00:00:00.000Z,197.9,199.5,197.31,199.0,1881920
2016-04-01T00:00:00.000Z,200.31,200.78,195.66,196.59,1117670
2016-04-04T00:00:00.000Z,201.18,202.054,200.05,200.81,736882
2016-04-05T00:00:00.000Z,202.27,203.88,200.75,200.75,873015
2016-04-06T00:00:00.000Z,202.1,202.5,200.76,201.84,1717732
2016-04-07T00:00:00.000Z,200.55,202.0,199.6603,201.52,854337
2016-04-08T00:00:00.000Z,200.57,202.0,200.09,201.63,798831
2016-04-11T00:00:00.000Z,199.51,201.715,199.49,200.66,796967
2016-04-12T00:00:00.000Z,200.2,201.03,199.5001,200.05,706033
2016-04-13T00:00:00.000Z,201.13,201.3,199.02,200.68,670537
2016-04-14T00:00:00.000Z,200.13,201.82,199.88,201.42,506013
2016-04-15T00:00:00.000Z,201.88,201.92,198.75,199.64,941514
2016-04-18T00:00:00.000Z,202.79,202.88,201.33,202.0,664575
2016-04-19T00:00:00.000Z,201.59,203.41,201.45,203.0,799629
2016-04-20T00:00:00.000Z,201.58,202.7,201.45,202.07,883198
2016-04-21T00:00:00.000Z,200.0,201.65,199.86,200.98,835720
2016-04-22T00:00:00.000Z,200.75,201.6399,199.26,200.23,853855
2016-04-25T00:00:00.000Z,200.73,200.93,199.52,200.25,698579
2016-04-26T00:00:00.000Z,203.57,203.99,200.88,200.88,1390806
2016-04-27T00:00:00.000Z,207.0,208.9892,200.55,207.0,1476834
2016-04-28T00:00:00.000Z,205.61,207.68,205.02,206.5,995206
2016-04-29T00:00:00.000Z,206.26,206.37,204.52,205.52,938050
2016-05-02T00:00:00.000Z,208.31,208.63,205.83,206.87,1039846
2016-05-03T00:00:00.000Z,209.6,209.791,206.75,207.44,954818
2016-05-04T00:00:00.000Z,210.55,210.74,208.08,208.6,1281966
2016-05-05T00:00:00.000Z,211.93,212.01,210.43,210.67,1100739
2016-05-06T00:00:00.000Z,214.1,214.17,211.61,211.73,821520
2016-05-09T00:00:00.000Z,214.63,215.6,212.97,214.3,830496
2016-05-10T00:00:00.000Z,217.43,217.64,214.72,215.08,904887
2016-05-11T00:00:00.000Z,214.32,218.4,214.14,217.45,874730
2016-05-12T00:00:00.000Z,217.98,218.84,214.55,214.55,1337586
2016-05-13T00:00:00.000Z,213.98,217.5,213.48,217.0,1184082
2016-05-16T00:00:00.000Z,215.73,216.33,213.0,213.98,671090
2016-05-17T00:00:00.000Z,213.6,216.67,212.2128,215.96,1063312
2016-05-18T00:00:00.000Z,214.14,215.565,212.71,213.24,789926
2016-05-19T00:00:00.000Z,211.07,213.01,209.68,212.5,930000
2016-05-20T00:00:00.000Z,212.72,213.02,211.13,212.29,729253
2016-05-23T00:00:00.000Z,212.16,213.05,211.79,212.75,602789
2016-05-24T00:00:00.000Z,214.68,215.6,212.66,212.66,616914
2016-05-25T00:00:00.000Z,214.33,216.09,214.28,215.75,613106
2016-05-26T00:00:00.000Z,213.95,214.8,213.33,213.95,514075
2016-05-27T00:00:00.000Z,214.42,214.65,213.36,213.77,582524
2016-05-31T00:00:00.000Z,212.67,215.495,211.21,214.42,1026678
2016-06-01T00:00:00.000Z,214.17,214.41,211.275,211.57,919009
2016-06-02T00:00:00.000Z,213.38,213.84,212.04,213.39,681124
2016-06-03T00:00:00.000Z,215.18,215.94,211.36,213.01,868430
2016-06-06T00:00:00.000Z,215.44,216.19,214.82,215.23,565540
2016-06-07T00:00:00.000Z,215.69,216.69,215.52,215.52,700129
2016-06-08T00:00:00.000Z,217.66,217.97,215.22,215.7,596293
2016-06-09T00:00:00.000Z,218.58,218.73,216.69,217.17,461228
2016-06-10T00:00:00.000Z,217.36,218.51,216.86,217.54,456043
